Week 1
Q1: The Global Goals were adopted by all United Nations member states in... as a universal call to action to end poverty, protect the planet and ensure that all people enjoy peace and prosperity by.  A. 2025, 2080; B. 2020, 2060; C. 2012, 2050; D. 2015, 2030.  Ans: D. 2015, 2030.  
Q8: Target [blank] calls for strengthening efforts to protect and safeguard the world's cultural and natural heritage.  A. 9.5; B. 1.5; C. 2.3; D. 11.4.  Ans: D. 11.4.  
Q9: The UNESCO International Centre for Technical and Vocational Education and Training enables [blank] in member states.  A. green TVET; B. blue TVET; C. orange TVET; D. white TVET.  Ans: A. green TVET.  
Q10: Which of the following statements is not true?   A. green jobs contribute to preserving environmental quality; B. green jobs ensure workers' rights; C. green jobs are only found in the agriculture sector; D. green jobs must be accessible to all.  Ans: C. green jobs are only found in the agriculture sector.  
Week 4
Q1: GESO stands for.  A. Green Education for Sustainable Occupation; B. Green Enhanced Sustainable Occupation; C. Green Enhanced Skills Occupation; D. None of the above.  Ans: C. Green Enhanced Skills Occupation.  
Q2: The classification of occupations into GIDO, GESO and GNEO is given by US National Center for.  A. GNET; B. ANET; C. INET; D. ONET.  Ans: D. O*NET.  
Q3: The International Framework for Greening TVET consists of the following tiers, except.  A. Breaking TVET institutions; B. Transforming TVET institutions; C. Formulating National Policies; D. Forming International Alliance.  Ans: A. Breaking TVET institutions.  
Q4: Energy, water and waste management comes under the [blank] dimension of Greening TVET.  A. Green research; B. Green culture; C. Green teaching; D. Green campus.  Ans: D. Green campus.  
Q5: Industry-institute interaction is an indicator of.  A. green house; B. green teaching; C. green campus; D. green curriculum.  Ans: D. green curriculum.  
Q6: Sustainable entrepreneurship includes.  A. social entrepreneurship; B. eco-preneurship; C. intra-preneurship; D. all of the given.  Ans: D. all of the given.  
Q7: ESD requires [blank] learning methods.  A. participatory; B. passive; C. rigid; D. static.  Ans: A. participatory.  
Q8: Which of the following is a transversal competency?   A. creativity; B. empathy; C. systems thinking; D. all of the given.  Ans: D. all of the given.  
Q9: [Blank] is the ability to create good relationships and adapt to different social situations.  A. emotional fitness; B. mental health; C. social health; D. physical health.  Ans: C. social health.  
Q10: Sustainable health is.  A. a curative approach; B. only about the body; C. a balance of mind, body and spirit; D. only about mental health.  Ans: C. a balance of mind, body and spirit.  
Week 5
Q1: Siddha comes under the.  A. public health sector; B. voluntary health agencies; C. indigenous system of medicine; D. private health sector.  Ans: C. indigenous system of medicine.  
Q2: Which of the following is not a problem of healthcare infrastructure in India?   A. shortage of staff; B. skewed favor to urban areas; C. no proper regulatory mechanism; D. standard procedures in all regions.  Ans: D. standard procedures in all regions.  
Q3: Which of the following is a health system building block as suggested by WHO?   A. Economic growth; B. Access to public transport; C. Politics; D. Service delivery.  Ans: D. Service delivery.  
Q4: An ecologically sustainable approach broadens the definition of.  A. objective; B. outcome; C. cost; D. value.  Ans: D. value.  
Q5: A [blank] is an environment in which data of medical interest can be stored and made easily available.  A. health repository; B. health bank; C. health bag; D. health grid.  Ans: D. health grid.  
Q6: The POSHAN Abhiyan in India aims to improve nutritional outcomes for.  A. children; B. lactating mothers; C. pregnant women; D. all of the given.  Ans: D. all of the given.  
Q7: Sus-QI stands for.  A. Sustainable quality improvement; B. Sustainable quality improvisation; C. Sustainable quantity improvement; D. Sustainable quantity improvisation.  Ans: A. Sustainable quality improvement.  
Q8: Which of the following is not a stage of Sus-QI?   A. set goals; B. measure impacts; C. design the improvement effort; D. ignore the system.  Ans: D. ignore the system.  
Q9: Food insecurity is measured on the.  A. FIES; B. FAIS; C. FIET; D. FAIR.  Ans: A. FIES.  
Q10: The UN lists [blank] levels of food security for any given country.  A. 5; B. 4; C. 3; D. 2.  Ans: A. 5.  
Week 6
Q1: Poor infrastructure can cause hunger in a country.  A. True; B. False.  Ans: A. True.  
Q2: In high income countries, hunger is mainly caused due to poverty that results from.  A. low GDP of the country; B. lack of access to food; C. poor public transport infrastructure; D. lack of jobs.  Ans: D. lack of jobs.  
Q3: Which of the following is true about hunger?   A. It is a cause of war; B. It is an effect of war; C. It is both a cause and effect of war; D. It is neither a cause nor an effect of war.  Ans: C. It is both a cause and effect of war.  
Q4: [Blank] are most vulnerable to the harmful effects of hidden hunger.  A. adults; B. infants; C. adolescents; D. elderly.  Ans: B. infants.  
Q5: Desertification is typically a result of.  A. drought; B. deforestation; C. inappropriate agriculture; D. all of the given.  Ans: D. all of the given.  
Q6: Which of the following is a key initiative in India for the problem of hunger?   A. One Nation, One Plate; B. One Nation, One Hunger; C. One Nation, No Ration Card; D. One Nation, One Ration Card.  Ans: D. One Nation, One Ration Card.  
Q7: In the past, MGNREGA has.  A. decreased rural wages; B. increased gender wage gaps; C. enabled poor access to food; D. reduced distress migration from rural areas.  Ans: D. reduced distress migration from rural areas.  
Q8: Wheat productivity can suffer if.  A. temperature rises; B. temperature does not change; C. temperature falls; D. none of the given.  Ans: A. temperature rises.  
Q9: Bringing forgotten and neglected foods like yam into cultivation and onto the market is called.  A. diversifying food basket; B. restricting food basket; C. completing food box; D. wasting food basket.  Ans: A. diversifying food basket.  
Q10: Home gardening has been proven as a reliable source to supplement food and nutritional security at the household level.  A. True; B. False.  Ans: A. True.  
Week 7
Q1: Which of the following is a type of energy?   A. fossil fuels; B. nuclear power; C. traditional biomass; D. all of the given.  Ans: D. all of the given.  
Q2: In IPCC by UN, I stands for.  A. Industrial; B. Internal; C. International; D. Intergovernmental.  Ans: D. Intergovernmental.  
Q3: The extraction, transport and refinement of nuclear fuels results in.  A. improvement of land from mining; B. pollution of air and water; C. replenishment of biodiversity; D. all of the given.  Ans: B. pollution of air and water.  
Q4: The greatest contributor to air pollution in China is.  A. cooking and heating; B. coal burning; C. transport; D. forest burning.  Ans: B. coal burning.  
Q5: In the wake of tsunami and nuclear disaster following severe earthquake in 2011, a city in Japan set a target for [blank] by 2022.  A. hundred net energy; B. one net energy; C. million net energy; D. zero net energy.  Ans: D. zero net energy.  
Q6: The term 'energy democracy' grew out of the [blank] movement.  A. hunger justice; B. hunger revolt; C. climate revolt; D. climate justice.  Ans: D. climate justice.  
Q7: The Paris Agreement is a legally binding treaty on [blank] adopted by 196 parties at COP 21 in 2015.  A. climate change; B. education; C. poverty; D. none of the given.  Ans: A. climate change.  
Q8: The Government of India launched the NAPCC in 2008 outlining National Missions on climate change.  A. 8; B. 2; C. 100; D. 78.  Ans: A. 8.  
Q9: Stubble burning usually takes place in the months of.  A. October-November; B. May-June; C. January-February; D. July-August.  Ans: A. October-November.  
Q10: Stubble burning is.  A. intentional; B. natural; C. healthy for air quality; D. related to burning of paper.  Ans: A. intentional.  
Week 8
Q1: The Okayama Commitment is from.  A. Russia; B. South Korea; C. North Korea; D. Japan.  Ans: D. Japan.  
Q2: Which of the following is a policy support mechanism of Okayama Commitment?   A. Taking money; B. Content development; C. Exploitation of resources; D. None of the given.  Ans: B. Content development.  
Q3: Education is related to SDG 9 such that.  A. education helps in skills required to build resilient infrastructure; B. education enhances skills to use natural resources more sustainably; C. education is critical to lifting people out of poverty; D. education helps reduce gender gaps.  Ans: A. education helps in skills required to build resilient infrastructure.  
Q4: The frame model structures sustainability competencies into [blank] goal dimensions.  A. 8; B. 3; C. 11; D. 45.  Ans: B. 3.  
Q5: Sustainability issues must be looked at through a [blank] approach.  A. isolated thinking; B. independent thinking; C. silos thinking; D. systems thinking.  Ans: D. systems thinking.  
Q6: Technology and Science can alone solve all our sustainability problems.  A. True; B. False.  Ans: B. False.  
Q7: GAP in the context of ESD stands for.  A. Global Action Programme; B. Great Actvity Plan; C. Global Attention Programme; D. Great Action Policy.  Ans: A. Global Action Programme.  
Q8: [Blank] competency is the ability to understand and evaluate multiple futures.  A. anticipatory; B. normative; C. strategic; D. collaborative.  Ans: A. anticipatory.  
Q9: The ability to question norms is [blank] competency.  A. critical thinking; B. normative; C. anticipatory; D. self-awareness.  Ans: A. critical thinking.  
Q10: Action-oriented learning draws on Kolb's concept of.  A. experiential learning; B. experimental learning; C. rote learning; D. direct learning.  Ans: A. experiential learning.  
Week 9
Q1: Activities like fish bowl discussion help.  A. passive thinking; B. critical and reflexive thinking; C. rote-memory; D. all of the given.  Ans: B. critical and reflexive thinking.  
Q2: Which of the following is not a vision-building exercise?   A. scenario analysis; B. classroom teaching; C. science fiction thinking; D. dystopian storytelling.  Ans: B. classroom teaching.  
Q3: The ability to hold contradictory thoughts and feelings is an [blank] competency.  A. intellectual; B. interpersonal; C. intrapersonal; D. institutional.  Ans: C. intrapersonal.  
Q4: [Blank] intelligences is proposed by Howard Gardner.  A. multiple; B. singular; C. double; D. triple.  Ans: A. multiple.  
Q5: [Blank] intelligence refers to using one's body in skilled ways.  A. kinesthetic; B. musical; C. naturalist; D. spatial.  Ans: A. kinesthetic.  
Q6: The idea of big transformation implies that changes in individual action are intertwined with.  A. reorganization of self; B. reorganization of societal structures; C. ignorance of others; D. none of the given.  Ans: B. reorganization of societal structures.  
Q7: In [blank] learning, learners start to question all the things they knew to make room for new insights and information.  A. transformative; B. transactional; C. trivial; D. trans-disciplinary.  Ans: A. transformative.  
Q8: Which of the following is a key principle of adult education?   A. need to know why; B. guilt; C. boredom; D. none of the given.  Ans: A. need to know why.  
Q9: [Blank] Sustainable Development is a process through which people influence and share control over development initiatives, decisions and resources that affects them.  A. Internal; B. Societal; C. Participatory; D. Transformational.  Ans: C. Participatory.  
Q10: [Blank] is the common regulatory body for higher education in India.  A. HECI; B. WHO; C. AIIMS; D. None of the given.  Ans: A. HECI.  
Week 10
Q1: Sustainable leaders look at immediate, short-term gains.  A. True; B. False.  Ans: B. False.  
Q2: The need of the hour is to have leaders who.  A. focus only on business profit; B. focus only on building technical solutions; C. take a holistic approach; D. none of the given.  Ans: C. take a holistic approach.  
Q3: Which of the following is a part of the 3Ps of triple bottom line?   A. Profit; B. Passion; C. Party; D. Pivot.  Ans: A. Profit.  
Q4: Organizations need leaders who create value for.  A. internal stakeholders; B. external stakeholders; C. oneself; D. all stakeholders.  Ans: D. all stakeholders.  
Q5: The sustainability mindset involves.  A. transparency; B. presencing; C. integrity; D. all of the given.  Ans: D. all of the given.  
Q6: Finding ways to maintain one's own and others' energy is an unsustainable leadership practice.  A. True; B. False.  Ans: B. False.  
Q7: Systems thinking is often highlighted by the ability to.  A. zoom in; B. zoom out; C. zoom in and out; D. none of the given.  Ans: C. zoom in and out.  
Q8: Practicing consciousness awareness includes.  A. ignoring self with others; B. forgetting about what has happened and moving on; C. living in denial; D. authentic interactions.  Ans: D. authentic interactions.  
Q9: [Blank] is the last challenge of leadership; of letting go, moving on, and planning for one's own obsolescence.  A. succession; B. regression; C. formation; D. integration.  Ans: A. succession.  
Q10: [Blank] leadership is also called missionary leadership and is different from quiet leadership.  A. participative; B. servant; C. radical; D. inspirational.  Ans: C. radical.  
Week 11
Q1: There is one universal curriculum to become a sustainable leader.  A. True; B. False.  Ans: B. False.  
Q2: A sustainable leader has a [blank] decision-making style.  A. forceful; B. autocratic; C. selfish; D. consensual.  Ans: D. consensual.  
Q3: A sustainable leader must have awareness of.  A. ecological; B. economic; C. political; D. all of the given.  Ans: D. all of the given.  
Q4: The 'results' component of sustainable leadership relates with the [blank] dimension.  A. instituional; B. social; C. environmental; D. economic.  Ans: D. economic.  
Q5: India gives a theory U that consists of aspects like co-initiating, co-sensing and co-evolving among others.  A. HEAD; B. SAID; C. GEAD; D. LEAD.  Ans: D. LEAD.  
Q6: The [blank] component in theory 'U' entails prototyping the new.  A. co-evolving; B. co-initiating; C. co-sensing; D. co-creating.  Ans: D. co-creating.  
Q7: Which of the following factor does not aid in becoming a global leader?   A. willingness to stay in one's comfort zone; B. undesirable circumstances like poverty; C. confidence to embrace risk; D. willingness to learn from failure.  Ans: A. willingness to stay in one's comfort zone.  
Q8: According to Maxwell, there are [blank] levels of leadership.  A. 15; B. 25; C. 50; D. 5.  Ans: D. 5.  
Q9: The [blank], in relation to their Global Leadership Fellowship program, describes global leaders as dynamic, engaged and driven individuals who possess a high degree of intellectual curiosity and service-oriented humility; an entrepreneur in the global public interest with a profound sense of purpose regardless of the scale and scope of the challenge.  A. World Health Organization; B. World Labor Organization; C. World Economic Forum; D. World Political Forum.  Ans: C. World Economic Forum.  
Q10: SDG [blank] is to make cities and human settlements inclusive, safe, resilient, and sustainable.  A. 2; B. 10; C. 11; D. 5.  Ans: C. 11.  
Week 12
Q1: [Blank] resources are those that exist in the absence of human intervention.  A. Artificial; B. Natural; C. Fake; D. Real.  Ans: B. Natural.  
Q2: The food sector accounts for around [blank] percent of total greenhouse gas emissions.  A. 3; B. 22; C. 100; D. 90.  Ans: B. 22.  
Q3: Which of the following is not a solution for natural resource depletion?   A. use less renewable energy; B. promote sustainable fishing growth; C. reduce food waste; D. treat wastewater before discharging.  Ans: A. use less renewable energy.  
Q4: In order to support reform on green fiscal policy, UN Environment has established the [blank] in partnership with the International Monetary Fund.  A. Green Fiscal Policy Network; B. Blue Fiscal Policy Network; C. Green Fishery Policy Network; D. Green Fiscal Policy Natural.  Ans: A. Green Fiscal Policy Network.  
Q5: As responsible consumers, we should ask ourselves "[blank]" before buying anything.  A. do I really need it?; B. how long will I use it?; C. can I borrow it from someone I know?; D. all of the given.  Ans: D. all of the given.  
Q6: A bulb thrown out after usage forms.  A. wet waste; B. valuable waste; C. responsible waste; D. e-waste.  Ans: D. e-waste.  
Q7: SDG [blank] seeks to promote international trade, and help developing countries increase their exports to ensure a universal rules-based and equitable trading system that is fair, open and beneficial to all.  A. 17; B. 2; C. 6; D. 11.  Ans: A. 17.  
Q8: According to Gandhiji, wealth should be used for.  A. the betterment of the humanity; B. personal indulgence; C. conflicts; D. politics.  Ans: A. the betterment of the humanity.  
Q9: The [blank] initiated and spearheaded by Gandhiji is the preeminent prototype of small and cottage industries. Strengthening village economy, and thus, reducing excessive urbanization can make human settlements safe, resilient and sustainable.  A. Khadi Movement; B. Salt March; C. Cotton Movement; D. Non-violent Protest.  Ans: A. Khadi Movement.  
Q10: [Blank] is the ability of a system to absorb disturbances & retain its basic function and structure.  A. resilience; B. gratitude; C. mindfulness; D. sustainable consumption.  Ans: A. resilience.
